,CAS,SMILES
0,98-07-7,ClC(Cl)(Cl)c1ccccc1
1,111-78-4,C\1C\C=C/CC\C=C1
2,5194-51-4,C/C=C/C=C/C
3,98-87-3,ClC(Cl)c1ccccc1
4,2004-70-8,C/C=C/C=C
5,627-26-9,C/C=C/C#N
6,592-47-2,CC\C=C\CC
7,71-55-6,CC(Cl)(Cl)Cl
8,354-58-5,FC(F)(F)C(Cl)(Cl)Cl
9,79-27-6,BrC(Br)C(Br)Br
10,79-34-5,ClC(Cl)C(Cl)Cl
11,76-13-1,FC(F)(Cl)C(F)(Cl)Cl
12,79-00-5,ClCC(Cl)Cl
13,75-34-3,CC(Cl)Cl
14,75-35-4,ClC(Cl)=C
15,105-57-7,CCOC(C)OCC
16,462-95-3,CCOCOCC
17,634-66-2,Clc1ccc(Cl)c(Cl)c1Cl
18,488-23-3,Cc1ccc(C)c(C)c1C
19,56-81-5,OCC(O)CO
20,96-11-7,BrCC(Br)CBr
21,96-18-4,ClCC(Cl)CCl
22,120-82-1,Clc1ccc(Cl)c(Cl)c1
23,107-15-3,NCCN
24,106-93-4,BrCCBr
25,95-50-1,Clc1ccccc1Cl
26,107-06-2,ClCCCl
27,78-87-5,CC(Cl)CCl
28,367-11-3,Fc1ccccc1F
29,91-16-7,COc1ccccc1OC
30,110-71-4,COCCOC
31,95-47-6,Cc1ccccc1C
32,103-29-7,C(Cc1ccccc1)c2ccccc2
33,57-55-6,CC(O)CO
34,470-82-6,CC12CCC(CC1)C(C)(C)O2
35,108-67-8,Cc1cc(C)cc(C)c1
36,592-57-4,C1CC=CC=C1
37,108-36-1,Brc1cccc(Br)c1
38,541-73-1,Clc1cccc(Cl)c1
39,142-28-9,ClCCCCl
40,372-18-9,Fc1cccc(F)c1
41,108-38-3,Cc1cccc(C)c1
42,7226-23-5,CN1CCCN(C)C1=O
43,96-49-1,O=C1OCCO1
44,628-41-1,C1C=CCC=C1
45,106-37-6,Brc1ccc(Br)cc1
46,110-52-1,BrCCCCBr
47,106-46-7,Clc1ccc(Cl)cc1
48,110-56-5,ClCCCCCl
49,540-36-3,Fc1ccc(F)cc1
50,106-42-3,Cc1ccc(C)cc1
51,628-76-2,ClCCCCCCl
52,107-04-0,ClCCBr
53,78-77-3,CC(C)CBr
54,107-82-4,CC(C)CCBr
55,109-65-9,CCCCBr
56,143-15-7,CCCCCCCCCCCCBr
57,629-04-9,CCCCCCCBr
58,111-25-1,CCCCCCBr
59,90-11-9,Brc1cccc2ccccc12
60,111-83-1,CCCCCCCCBr
61,110-53-2,CCCCCBr
62,106-94-5,CCCBr
63,106-89-8,ClCC1CO1
64,95-49-8,Cc1ccccc1Cl
65,513-36-0,CC(C)CCl
66,107-84-6,CC(C)CCCl
67,109-69-3,CCCCCl
68,544-10-5,CCCCCCCl
69,90-13-1,Clc1cccc2ccccc12
70,111-85-3,CCCCCCCCCl
71,543-59-9,CCCCCCl
72,540-54-5,CCCCl
73,112-53-8,CCCCCCCCCCCCO
74,622-96-8,CCc1ccc(C)cc1
75,111-31-9,CCCCCCS
76,592-41-6,CCCCC=C
77,542-69-8,CCCCI
78,638-45-9,CCCCCCI
79,628-17-1,CCCCCI
80,107-08-4,CC(C)I
81,578-58-5,COc1ccccc1C
82,100-84-5,COc1cccc(C)c1
83,104-93-8,COc1ccc(C)cc1
84,90-12-0,Cc1cccc2ccccc12
85,108-03-2,CCC[N+]([O-])=O
86,111-66-0,CCCCCCC=C
87,110-66-7,CCCCCS
88,109-67-1,CCCC=C
89,93-55-0,CCC(=O)c1ccccc1
90,464-06-2,CC(C)C(C)(C)C
91,594-20-7,CC(C)(Cl)Cl
92,75-83-2,CCC(C)(C)C
93,590-35-2,CCCC(C)(C)C
94,463-82-1,CC(C)(C)C
95,771-56-2,Cc1c(F)c(F)c(F)c(F)c1F
96,513-81-5,CC(=C)C(C)=C
97,565-59-3,CCC(C)C(C)C
98,123-63-7,CC1OC(C)OC(C)O1
99,108-75-8,Cc1cc(C)nc(C)c1
100,565-80-0,CC(C)C(=O)C(C)C
101,95-68-1,Cc1ccc(N)c(C)c1
102,108-08-7,CC(C)CC(C)C
103,108-47-4,Cc1ccnc(C)c1
104,123-54-6,CC(=O)CC(C)=O
105,108-83-8,CC(C)CC(=O)CC(C)C
106,108-48-5,Cc1cccc(C)n1
107,111-41-1,NCCNCCO
108,141-43-5,NCCO
109,78-76-2,CCC(C)Br
110,75-26-3,CC(C)Br
111,111-76-2,CCCCOCCO
112,507-20-0,CC(C)(C)Cl
113,95-51-2,Nc1ccccc1Cl
114,78-86-4,CCC(C)Cl
115,100-70-9,N#Cc1ccccn1
116,110-80-5,CCOCCO
117,110-43-0,CCCCCC(C)=O
118,591-78-6,CCCCC(C)=O
119,75-30-9,CC(C)I
120,1634-04-4,COC(C)(C)C
121,90-04-0,COc1ccccc1N
122,109-86-4,COCCO
123,563-46-2,CCC(C)=C
124,60435-70-3,CCCCCC(C)CO
125,75-85-4,CCC(C)(C)O
126,98-06-6,CC(C)(C)c1ccccc1
127,75-64-9,CC(C)(C)N
128,75-66-1,CC(C)(C)S
129,75-65-0,CC(C)(C)O
130,18720-62-2,CCCCC(O)C(C)C
131,95-53-4,Cc1ccccc1N
132,529-19-1,Cc1ccccc1C#N
133,591-76-4,CCCCC(C)C
134,107-83-5,CCCC(C)C
135,79-31-2,CC(C)C(O)=O
136,110-19-0,CC(C)COC(C)=O
137,542-55-2,CC(C)COC=O
138,78-81-9,CC(C)CN
139,538-93-2,CC(C)Cc1ccccc1
140,96-47-9,CC1CCCO1
141,91-23-6,COc1ccccc1[N+]([O-])=O
142,79-46-9,CC(C)[N+]([O-])=O
143,88-72-2,Cc1ccccc1[N+]([O-])=O
144,123-96-6,CCCCCCC(C)O
145,111-13-7,CCCCCCC(C)=O
146,140-29-4,N#CCc1ccccc1
147,60-12-8,OCCc1ccccc1
148,107-11-9,NCC=C
149,107-18-6,OCC=C
150,107-13-1,C=CC#N
151,112-12-9,CCCCCCCCCC(C)=O
152,75-97-8,CC(=O)C(C)(C)C
153,562-49-2,CCC(C)(C)CC
154,583-58-4,Cc1ccncc1C
155,112-36-7,CCOCCOCCOCC
156,591-19-5,Nc1cccc(Br)c1
157,1809-10-5,CCC(Br)CC
158,106-95-6,BrCC=C
159,626-55-1,Brc1cccnc1
160,108-42-9,Nc1cccc(Cl)c1
161,107-05-1,ClCC=C
162,108-41-8,Cc1cccc(Cl)c1
163,617-78-7,CCC(CC)CC
164,589-82-2,CCCCC(O)CC
165,106-35-4,CCCCC(=O)CC
166,57-06-7,C=CCN=C=S
167,123-51-3,CC(C)CCO
168,563-80-4,CC(C)C(C)=O
169,108-44-1,Cc1cccc(N)c1
170,503-74-2,CC(C)CC(O)=O
171,589-34-4,CCCC(C)CC
172,108-39-4,Cc1cccc(O)c1
173,108-99-6,Cc1cccnc1
174,589-98-0,CCCCCC(O)CC
175,96-22-0,CCC(=O)CC
176,99-97-8,CN(C)c1ccc(C)cc1
177,106-43-4,Cc1ccc(Cl)cc1
178,536-75-4,CCc1ccncc1
179,352-32-9,Cc1ccc(F)cc1
180,589-55-9,CCCC(O)CCC
181,123-19-3,CCCC(=O)CCC
182,104-94-9,COc1ccc(N)cc1
183,926-56-7,CC(C)=CC=C
184,14979-39-6,CCCC(C)C(O)CC
185,141-79-7,CC(C)=CC(C)=O
186,106-49-0,Cc1ccc(N)cc1
187,542-54-1,CC(C)CCC#N
188,108-89-4,Cc1ccncc1
189,100-17-4,COc1ccc(cc1)[N+]([O-])=O
190,589-62-8,CCCCC(O)CCC
191,502-56-7,CCCCC(=O)CCCC
192,83-32-9,C1Cc2cccc3cccc1c23
193,107-29-9,C/C=N/O
194,64-19-7,CC(O)=O
195,108-24-7,CC(=O)OC(C)=O
196,98-86-2,CC(=O)c1ccccc1
197,75-36-5,CC(Cl)=O
198,62-53-3,Nc1ccccc1
199,120-12-7,c1ccc2cc3ccccc3cc2c1
200,100-52-7,O=Cc1ccccc1
201,71-43-2,c1ccccc1
202,98-88-4,ClC(=O)c1ccccc1
203,140-11-4,CC(=O)OCc1ccccc1
204,100-51-6,OCc1ccccc1
205,100-44-7,ClCc1ccccc1
206,100-46-9,NCc1ccccc1
207,92-52-4,c1ccc(cc1)c2ccccc2
208,111-44-4,ClCCOCCCl
209,108-86-1,Brc1ccccc1
210,108-85-0,BrC1CCCCC1
211,74-96-4,CCBr
212,75-62-7,ClC(Cl)(Cl)Br
213,123-72-8,CCCC=O
214,106-97-8,CCCC
215,109-74-0,CCCC#N
216,109-79-5,CCCCS
217,107-92-6,CCCC(O)=O
218,71-36-3,CCCCO
219,1126-79-0,CCCCOc1ccccc1
220,109-73-9,CCCCN
221,75-15-0,S=C=S
222,108-90-7,Clc1ccccc1
223,542-18-7,ClC1CCCCC1
224,156-59-2,Cl\C=C/Cl
225,493-01-6,C1CCC2CCCCC2C1
226,98-82-8,CC(C)c1ccccc1
227,544-25-2,C1C=CC=CC=C1
228,108-91-8,NC1CCCCC1
229,98-89-5,OC(=O)C1CCCCC1
230,108-93-0,OC1CCCCC1
231,110-83-8,C1CCC=CC1
232,622-45-7,CC(=O)OC1CCCCC1
233,292-64-8,C1CCCCCCC1
234,629-20-9,C/1=C/C=C\C=C/C=C1
235,287-92-3,C1CCCC1
236,120-92-3,O=C1CCCC1
237,99-49-0,CC(=C)C1CC=C(C)C(=O)C1
238,124-18-5,CCCCCCCCCC
239,112-30-1,CCCCCCCCCCO
240,544-40-1,CCCCSCCCC
241,132-64-9,o1c2ccccc2c3ccccc13
242,103-50-4,C(OCc1ccccc1)c2ccccc2
243,74-95-3,BrCBr
244,109-43-3,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
245,142-96-1,CCCCOCCCC
246,84-74-2,CCCCOC(=O)c1ccccc1C(=O)OCCCC
247,111-92-2,CCCCNCCCC
248,75-09-2,ClCCl
249,111-42-2,OCCNCCO
250,141-05-9,CCOC(=O)\C=C/C(=O)OCC
251,141-05-9,CCOC(=O)\C=C/C(=O)OCC
252,123-25-1,CCOC(=O)CCC(=O)OCC
253,110-81-6,CCSSCC
254,95-92-1,CCOC(=O)C(=O)OCC
255,105-53-3,CCOC(=O)CC(=O)OCC
256,352-93-2,CCSCC
257,109-89-7,CCNCC
258,111-46-6,OCCOCCO
259,75-11-6,ICI
260,625-80-9,CC(C)SC(C)C
261,108-18-9,CC(C)NC(C)C
262,109-87-5,COCOC
263,624-92-0,CSSC
264,131-11-3,COC(=O)c1ccccc1C(=O)OC
265,108-59-8,COC(=O)CC(=O)OC
266,77-78-1,CO[S](=O)(=O)OC
267,75-18-3,CSC
268,1467-79-4,CN(C)C#N
269,123-91-1,C1COCCO1
270,693-65-2,CCCCCOCCCCC
271,101-84-8,O(c1ccccc1)c2ccccc2
272,101-81-5,C(c1ccccc1)c2ccccc2
273,111-43-3,CCCOCCC
274,142-84-7,CCCNCCC
275,112-40-3,CCCCCCCCCCCC
276,107-21-1,OCCO
277,75-08-1,CCS
278,64-17-5,CCO
279,103-73-1,CCOc1ccccc1
280,97-64-3,CCOC(=O)C(C)O
281,141-97-9,CCOC(=O)CC(C)=O
282,141-78-6,CCOC(C)=O
283,93-89-0,CCOC(=O)c1ccccc1
284,105-54-4,CCCC(=O)OCC
285,105-39-5,CCOC(=O)CCl
286,105-56-6,CCOC(=O)CC#N
287,109-94-4,CCOC=O
288,123-66-0,CCCCCC(=O)OCC
289,542-85-8,CCN=C=S
290,625-58-1,CCO[N+]([O-])=O
291,105-37-3,CCOC(=O)CC
292,118-61-6,CCOC(=O)c1ccccc1O
293,542-90-5,CCSC#N
294,100-41-4,CCc1ccccc1
295,536-74-3,C#Cc1ccccc1
296,462-06-6,Fc1ccccc1
297,75-12-7,NC=O
298,64-18-6,OC=O
299,110-00-9,o1cccc1
300,98-01-1,O=Cc1occc1
301,111-71-7,CCCCCCC=O
302,142-82-5,CCCCCCC
303,111-70-6,CCCCCCCO
304,544-76-3,CCCCCCCCCCCCCCCC
305,392-56-3,Fc1c(F)c(F)c(F)c(F)c1F
306,680-31-9,CN(C)[P](=O)(N(C)C)N(C)C
307,110-54-3,CCCCCC
308,628-73-9,CCCCCC#N
309,142-62-1,CCCCCC(O)=O
