Solvent_no.,NAME,COSMO_name,CAS,MF,MW,Density,Molar_volume,Refractive_index,Mol._refr._pow.,Dielectric_constant,Dipole_moment,Melting_point,Boiling_point,Viscosity,lnP,Vapour_pressure,Henry's_constant,lngamma,HBA,neutral,HBD,s1,s2,s3,s4,s5,conv,d.e.
1,2-butanol,2-butanol,78-92-2,C4H10O,74,0.807,92,1.395,22.02,16.56,1.41,-115,100,2.26,0.98,20.86,2408.21,0.15,0.64,10.88,1.05,0.25,0.98,9.98,0.77,0.59,61,71
2,2-pentanone,2-pentanone,107-87-9,C5H10O,86,0.808,107,1.39,25.27,15.45,2.7,-78,101,0.49,0.9,52.48,2227.41,-0.28,0.01,12.54,1.53,0,2.19,9.97,1.56,0.36,66,56
3,4-methyl-2-pentanone,4-methyl-2-pentanone,108-10-1,C6H12O,100,0.801,125,1.396,30.03,13.11,2.69,-85,118,0.55,1.44,22.8,2014.07,0.12,0.01,14.22,1.45,0,2.14,11.74,1.48,0.33,71,56
4,2-propanone,acetone,67-64-1,C3H6O,58,0.79,74,1.359,16.17,21.4,2.69,-97,57,0.35,-0.3,28.99,3009.7,-0.62,0.02,8.58,1.66,0,2.74,5.5,1.67,0.36,62,56
5,cyclohexanone,cyclohexanone,108-94-1,C6H10O,98,0.948,104,1.448,27.71,18.2,3.06,-32,156,0.9,0.9,6.6,2164.87,-0.23,0,12.17,1.68,0,1.57,10.24,1.65,0.39,60,56
6,2-butanone,butanone,78-93-3,C4H8O,72,0.805,90,1.379,20.69,18.51,2.76,-86,80,0.41,0.37,156.69,2538.41,-0.37,0.01,10.55,1.53,0,2.38,7.77,1.58,0.35,67,56
7,toluene,toluene,108-88-3,C7H8,92,0.867,106,1.497,31.1,2.38,0.31,-93,111,0.71,2.6,33.49,2305.64,1.07,0,14.09,0,0,2.34,10.02,1.73,0,88,57
8,acetonitrile,acetonitrile,75-05-8,C2H3N,41,0.782,53,1.344,11.12,37.5,3.44,-45,82,0.41,-1.05,65.82,6321.2,1.22,0.82,6.1,1.37,0,2.79,3.09,2.29,0.12,39,52
9,diethyl carbonate,diethylcarbonate,105-58-8,C5H10O3,118,0.975,121,1.384,28.33,3.1,1.07,-43,127,0.82,1.32,12.32,2197.41,0.02,0,14.35,2.11,0,3.37,9.91,3.1,0.08,64,61
10,dimethyl sulfoxide,dimethylsulfoxide,67-68-5,C2H6OS,78,1.1,71,1.479,20.15,46.68,4.1,19,189,1.14,-1.93,0.83,3396.62,-0.7,0.58,8.57,2.04,0,4.05,4.93,0.73,1.48,35,72
11,tetrahydrofuran,thf,109-99-9,C4H8O,72,0.888,81,1.407,20,7.58,1.75,-108,66,0.47,0.7,205.7,2305.04,-0.44,0,10.12,1.09,0,0.81,9.04,0.77,0.59,62,53
12,N-methylpyrrolidon,n-methyl-2-pyrrolidinone,872-50-4,C5H9NO,99,1.03,96,1.47,26.84,32.2,4.09,-24,202,1.12,-0.46,1.41,2382.49,-0.94,0,12.01,1.93,0,2.44,9.39,0.9,1.2,42,50
13,diethyl ether,diethylether,60-29-7,C4H10O,74,0.713,104,1.352,22.5,4.33,1.15,-117,35,0.26,1.6,515.54,2114.17,0.39,0,12.08,0.96,0,0.55,11.27,0.85,0.38,82,58
