ID,NAME,CAS,Formula,MW,Den,MV,RI,MRP,DC,D,Melting,Boiling,Viscosity,lnP,Vap_P,Henrys_C,sigma1,sigma2,sigma3,sigma4,sigma5
1,(trichloromethyl)-benzene,98-07-7,C7H5Cl3,195,1.173,166.6,1.557,53.67,6.9,2.14,-4,220,1.85,3.68,0.2,2015.87,0,3.2973,15.6295,0.077,0
2,"1,5-cyclooctadiene",111-78-4,C8H12,108,0.88,122.9,1.493,35.73,2.38,0.17,-69,148,1,2.98,8.87,1884.53,0,0.9742,12.848,1.8654,0
3,"trans,trans-2,4-hexadiene",5194-51-4,C6H10,82,0.727,112.9,1.456,30.7,2.22,0.36,-79,79,0.37,3.05,225.18,2089.16,0,1.3634,11.9242,1.6598,0
4,(dichloromethyl)-benzene,98-87-3,C7H6Cl2,161,1.25,128.8,1.55,41.04,6.9,2.05,-16,205,1.99,2.94,0.24,2235.31,0.0081,3.8876,12.8028,0.9402,0
5,1-trans-3-pentadiene,2004-70-8,C5H8,68,0.683,99.7,1.43,25.77,2.32,0.68,-87,42,0.3,2.47,702.08,2326.13,0,1.8346,9.4678,1.6107,0
6,(e)-2-butenenitrile,627-26-9,C4H5N,67,0.823,81.6,1.416,20.47,28.1,4.5,-52,122,0.5,0.18,18.14,3633.34,0,2.9768,6.5427,2.2748,0.0905
7,cis-3-hexene,592-47-2,C6H12,84,0.678,124.1,1.394,29.67,2.06,0.34,-138,66,0.33,3.35,318.26,1891.66,0,0.5181,13.5795,0.9556,0
8,"1,1,1-trichloroethane",71-55-6,C2H3Cl3,133,1.338,99.7,1.438,26.17,7.25,1.9,-30,74,0.39,2.45,73.59,2236.31,0,2.1596,11.0731,0.0711,0
9,"1,1,1-trichloro-2,2,2-trifluoroethane",354-58-5,C2Cl3F3,187,1.566,119.7,1.36,26.41,2.44,0.74,14,46,0.27,3.17,504.26,2093.92,0,1.0688,13.8502,0,0
10,"1,1,2,2-tetrabromoethane",79-27-6,C2H2Br4,346,2.967,116.5,1.628,41.34,7,1.57,0,244,1.76,2.98,0.06,3620.54,0.319,2.4911,13.6132,0.3677,0
11,"1,1,2,2-tetrachloroethane",79-34-5,C2H2Cl4,168,1.59,105.6,1.494,30.71,8.42,1.33,-44,144,0.72,2.46,5.48,2294.92,0.3646,1.6833,12.7559,0.2205,0
12,"1,1,2-trichloro-1,2,2-trifluoroethane",76-13-1,C2Cl3F3,187,1.564,119.8,1.356,26.16,2.41,0.86,-35,48,0.28,3.2,509.96,2088.96,0,0.9368,13.9951,0,0
13,"1,1,2-trichloroethane",79-00-5,C2H3Cl3,133,1.443,92.4,1.471,25.84,7.28,1.36,-37,114,0.63,1.95,19.58,2492.33,0.0155,2.6467,9.9248,0.9174,0
14,"1,1-dichloroethane",75-34-3,C2H4Cl2,99,1.176,84.1,1.416,21.12,10,2.35,-97,57,0.38,1.73,161.66,2552.23,0,2.5644,7.9311,1.1462,0
15,"1,1-dichloroethylene",75-35-4,C2H2Cl2,97,1.175,82.5,1.425,21.1,4.67,1.25,-123,32,0.26,2.15,757.54,2556.47,0,1.5707,9.6523,0.0295,0
16,"1,1-diethoxyethane",105-57-7,C6H14O2,118,0.826,143.1,1.381,33.22,3.8,1.22,-100,103,0.75,2.02,11.17,1827.2,0,1.4419,14.3168,1.3959,0.5351
17,diethoxymethane,462-95-3,C5H12O2,104,0.831,125.3,1.373,28.55,2.53,1.25,-66,87,0.6,1.63,36.03,1972.66,0,1.7109,12.2843,1.5005,0.4966
18,"1,2,3,4-tetrachlorobenzene",634-66-2,C6H2Cl4,216,1.858,116.2,1.58,38.67,3.2,1.9,46,254,1.9,3.86,0.17,2036.95,0,2.0511,16.9031,0.1045,0
19,"1,2,3,4-tetramethylbenzene",488-23-3,C10H14,134,0.901,149,1.515,44.92,2.59,0.39,-4,205,1.29,3.85,1.82,1818.76,0,1.629,15.2425,1.986,0
